Dwarf,FunctionName,ClassName,PreciseName,Params,,PreciseSrcType (vTrust),SrcType (IFCC),SafeSrcType (IFCC-safe),BinType (TypeArmor),Baseline,,PreciseSrcType-VFunctions,SrcType-VFunctions,SafeSrcType-VFunctions,BinType-VFunctions,Baseline-VFunctions
(The dwarf info of this callsite),(The least-derived vfunction used at this vcall),(The class defining functionname),(The least-derived class of the object used at this vcall),(# of params provided by this callsite (=# consumed)),,(func sig matching including C/C++ func name & ret type),(param type matching w/ pointer types),(param type matching wo/ pointer types),(Callsite param >= Callee param (up to 6),(total # of functions),,(PreciseSrcType only virtual targets),(SrcType only virtual targets),(SafeSrcType only virtual targets),(BinType only virtual targets),(total # of virtual targets)
src/http/ngx_http_core_module.c:1076:10,,,,1,,,149,149,422,1270,,,0,0,0,0
src/http/ngx_http_core_module.c:1162:38,,,,1,,,149,149,422,1270,,,0,0,0,0
src/http/ngx_http_core_module.c:1169:10,,,,1,,,149,149,422,1270,,,0,0,0,0
src/http/ngx_http_core_module.c:1748:12,,,,1,,,149,149,422,1270,,,0,0,0,0
src/http/ngx_http_core_module.c:1748:12,,,,1,,,149,149,422,1270,,,0,0,0,0
src/http/ngx_http_core_module.c:1763:10,,,,2,,,75,75,719,1270,,,0,0,0,0
src/http/ngx_http_core_module.c:1748:12,,,,1,,,149,149,422,1270,,,0,0,0,0
src/http/ngx_http_core_module.c:1763:10,,,,2,,,75,75,719,1270,,,0,0,0,0
src/http/ngx_http_core_module.c:851:14,,,,2,,,75,75,719,1270,,,0,0,0,0
src/http/ngx_http_core_module.c:2730:21,,,,1,,,44,50,422,1270,,,0,0,0,0
src/http/ngx_http_core_module.c:2739:21,,,,1,,,44,50,422,1270,,,0,0,0,0
src/http/ngx_http_core_module.c:2849:52,,,,1,,,44,50,422,1270,,,0,0,0,0
src/http/ngx_http_core_module.c:4372:21,,,,1,,,44,50,422,1270,,,0,0,0,0
src/http/ngx_http_core_module.c:1748:12,,,,1,,,149,149,422,1270,,,0,0,0,0
src/http/ngx_http_core_module.c:1763:10,,,,2,,,75,75,719,1270,,,0,0,0,0
src/http/ngx_http_core_module.c:1748:12,,,,1,,,149,149,422,1270,,,0,0,0,0
src/http/ngx_http_core_module.c:1763:10,,,,2,,,75,75,719,1270,,,0,0,0,0
src/http/ngx_http_request.c:366:9,,,,1,,,121,121,422,1270,,,0,0,0,0
src/http/ngx_http_request.c:2759:13,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/http/ngx_http_core_module.c:851:14,,,,2,,,75,75,719,1270,,,0,0,0,0
src/http/ngx_http_request.c:2337:14,,,,3,,,7,7,1172,1270,,,0,0,0,0
src/http/ngx_http_request.c:3562:9,,,,1,,,149,149,422,1270,,,0,0,0,0
src/http/ngx_http_request.c:3562:9,,,,1,,,149,149,422,1270,,,0,0,0,0
src/http/ngx_http_request.c:2279:9,,,,1,,,121,121,422,1270,,,0,0,0,0
src/http/ngx_http_request.c:2279:9,,,,1,,,121,121,422,1270,,,0,0,0,0
src/http/ngx_http_request.c:2865:13,,,,3,,,3,3,1172,1270,,,0,0,0,0
src/http/ngx_http_core_module.c:1763:10,,,,2,,,75,75,719,1270,,,0,0,0,0
